Laptop Name ,Brand,Model,Type,Price,CPU Brand,CPU Type,CPU Model,CPU Cores,CPU Speed (GHz),Speed Rating,Ram (GB) - Memory,SSD(GB) - Memory,Memory Rating,GPU (Brand),GPU (Model),Connectivity ,Operating System,Size (inches) - display,Resolution width x height (pixels) - display,Display Rating,Touchscreen,Weight (lbs),Quality Rating,Hyperlink
HP Envy 13 (2021) ,HP,Envy,Business,849.00,Intel,i5,1135G7,4,2.40,4,16,256,4,Iris Xe,Integrated,Wi-Fi 6; Bluetooth 5,Windows 10 ,13.3,1920 x 1080,7,TRUE,2.9,10,https://www.amazon.ca/Envy-13-ba1047wm-13-3-FHD-Laptop/dp/B09WJJDJQG/ref=sr_1_5?ascsubtag=laptopmag-ca-5134946625911429000-20&geniuslink=true&keywords=HP+Envy+13+%282021%29&qid=1669298162&qu=eyJxc2MiOiI0LjM4IiwicXNhIjoiMy40NSIsInFzcCI6IjEuNTAifQ%3D%3D&sr=8-5
ASUS VivoBook S 15,Asus,VivoBook,Leisure,799.00,Intel,i5,12500H,8,2.50,7,16,512,5,NVIDIA,RTX 3050,USB-C ® 3.2 Gen 1 port; two USB 3.2 Gen 1 Type-A ports; a USB 2.0 port; HDMI ® output and an audio combo jack,Windows 11 ,15.6,1920 x 1080 ,8,FALSE,3.97,6,https://www.amazon.ca/VivoBook-Display-Platform-i5-12500H-K3502ZA-AS51-CA/dp/B09YMK5LPZ/ref=sr_1_1?fst=as%3Aoff&m=A3DWYIK6Y9EEQB&qid=1669299896&refinements=p_6%3AA3DWYIK6Y9EEQB&rnid=12035754011&s=electronics&sr=1-1
ASUS TUF,Asus,TUF,Gaming,849.99,Intel,i5,10300H,6,2.50,6,16,512,5,NVIDIA,GTX 1650,Bluetooth 5.2; WIFI 6,Windows 11 ,15.6,1920 x 1080,8,FALSE,5.1,10,https://www.staples.ca/products/3026570-en-asus-tuf-gaming-fx506lh-ss51-cb-156-laptop-intel-core-i5-10300h-16gb-ram-512gb-ssd-windows-11
ASUS GL531GT-RH71-CB,Asus,ROG Strix,Gaming,607.47,Intel,i7,9750H,4,2.60,5,16,1000,7,NVIDIA,GTX 1650,Wifi; bluetooth,Windows 10 ,15.6,1920 x 1080,7,FALSE,5.3,10,https://www.staples.ca/products/2961563-en-asus-gl531gt-rh71-cb-156-inch-gaming-26-ghz-intel-core-i7-9750h-1-tb-sshd-16-gb-ddr4-nvidia-geforce-gtx-1650-4g
HP Pavilion,HP,Pavilion,Business,799.99,Intel,i5,1235U,2,4.40,6,8,512,6,NVIDIA,GTX 1050,Wi-Fi 6E; bluetooth 26,Windows 11 ,14,1920 x 1080,8,TRUE,3.33,8,https://www.bestbuy.ca/en-ca/product/hp-pavilion-x360-14-touchscreen-2-in-1-laptop-natural-silver-intel-core-i5-1235u-512gb-ssd-8gb-ram-windows-11/16020143
Acer Aspire 3,Acer,Aspire,Leisure,599.99,Intel,i5,1035G1,4,1.00,3,12,512,4,NVIDIA ,MX350,Bluetooth 5; Wifi 5,Windows 11 ,15.6,1920 x 1080,8,FALSE,4.19,10,https://www.bestbuy.ca/en-ca/product/acer-aspire-3-15-6-laptop-black-intel-core-i5-1035g1-512gb-12gb-ram-windows-11/16250540
Dell Inspiron,Dell,Inspiron,Productivity,699.99,Intel,i5,1135G7,4,2.40,5,8,256,5,NVIDIA,GT 730,Bluetooth 5; Wifi 5,Windows 11 S,15.6,1920 x 1080,9,TRUE,3.81,6,https://www.bestbuy.ca/en-ca/product/dell-inspiron-3511-15-6-touchscreen-laptop-black-intel-core-i5-1135g7-256gb-ssd-8gb-ram-windows-11-s/16451700
HP Victus 15,HP,Victus,Gaming,799.99,AMD,Ryzen 5,5600H,6,4.20,7,8,512,6,NVIDIA ,GTX 1650,Bluetooth; Wifi 6,Windows 11,15,1920 x 1080,8,FALSE,7.39,7,https://www.bestbuy.ca/en-ca/product/hp-victus-15-gaming-laptop-blue-amd-ryzen-5-5600h-512gb-ssd-8gb-ram-geforce-gtx-1650-windows-11/16283534
ASUS ROG Zephyrus G14 14,Asus,Zephyyrus,Gaming,999.99,AMD,Ryzen 7,5800HS,8,2.80,7,16,512,6,NVIDIA ,GTX 1650,Wifi 6; Bluetooth 5.1,Windows 11 ,14,1920 x 1080,8,FALSE,3.51,9,https://www.bestbuy.ca/en-ca/product/asus-rog-zephyrus-g14-14-gaming-laptop-amd-ryzen-7-5800hs-512gb-ssd-16gb-ram-geforce-nbsp-gtx-nbsp-1650/16014645
Microsoft Surface Laptop Go 2 12.4,Microsoft,Surface,Professional,799.99,Intel,i5,1135G7,4,2.40,5,8,128,5,Intel ,UHD Graphics 615,Wifi; bluetooth 5,Windows 11 ,12.4,1536 x 1024,6,TRUE,2.48,6,https://www.bestbuy.ca/en-ca/product/microsoft-surface-laptop-go-2-12-4-touchscreen-laptop-sandstone-intel-i5-1135g7-128gb-ssd-8gb-ram-en/16157710
Apple MacBook Pro (2022),Apple,MacBook Pro,Business,1699.00,Apple,M2,M2 8-Core,8,4.80,7,8,256,5,Apple,Integrated,USB-C (2); USB  (4),MacOS,13.3,2560 x 1600,9,FALSE,3.09,8,https://www.amazon.ca/2022-Apple-MacBook-Laptop-chip/dp/B0B3C57XLR/ref=sr_1_2?fst=as%3Aoff&m=A3DWYIK6Y9EEQB&qid=1669298748&refinements=p_6%3AA3DWYIK6Y9EEQB%2Cp_36%3A100000-200000&rnid=12035759011&s=electronics&sr=1-2&th=1
LG gram 16,‎LG ,Gram 16,Productivity,1749.99,Intel,i5,i5-1240P,12,3.30,7,8,1000,6,Intel,Iris Xe Graphics,USB 3.0 (2),Windows 11 ,16,2560 x 1600,8,FALSE,2.64,7,https://www.staples.ca/products/3034544-en-lg-gram-16-ultra-lightweight-laptop-intel-core-i5-1240p-512gb-ssd-8gb-ram-windows-11-home
MSI Pulse GL76 12UEK-016CA,MSI,Pulse,Gaming,1649.99,Intel,i7,i7-12700H,14,1.70,6,16,512,6,NVIDIA ,RTX 3060 ,WiFi 6; Bluetooth 5.2; Gb LAN,Windows 11 ,17.3,1920 x 1080,9,FALSE,6.17,7,https://www.staples.ca/products/3025635-en-msi-pulse-gl76-12uek-016ca-173-gaming-laptop-intel-core-i7-12700h-rtx3060-16gb-ram-512gb-ssd-windows-11-home
Dell Refurbished Precision 7710 ,Dell,Precision 7710,Business/Engineering,1649.99,Intel ,i7,i7-6820HQ,4,2.70,5,64,960,8,NVIDIA ,M3000M,USB 2.0 (4); Audio in/out port; Display Port; Esata; Firewire; HDMI; Monitor port VGA; SD Card Reader; USB 3,Windows 10 Pro,17.3,1920 x 1080,7,FALSE,7.5,8,https://www.staples.ca/products/2996163-en-dell-refurbished-precision-7710-64-173-inch-notebook-27-ghz-intel-core-i7-6820hq-960-gb-ssd-64-gb-ddr4-windows-10-pro
Microsoft Surface Laptop 5 ,Microsoft,Surface,Content creation,1689.99,Intel,i7,i7-1255U,2,2.50,4,8,256,5,Intel,Iris Xe Graphics,Wi-Fi 6: 802.11ax; 2x2 MIMO; Bluetooth 5.1,Windows 11 ,15,2496 x 1664,9,TRUE,3.45,9,https://www.staples.ca/products/3039188-en-microsoft-surface-laptop-5-15-intel-core-i7-256-gb-ssd-8-gb-ram-windows-11-home-platinum
Apple MacBook Air,Apple,Macbook Air,Content creation,1299.99,Apple,M1,Unknown,8,1.10,4,8,256,5,Apple,Integrated,Thunderbolt/USB 4 ports (2),MacOS,13.3,2560 x 1600,9,FALSE,2.8,9,https://www.staples.ca/products/2992090-en-apple-macbook-air-133-notebook-m1-chip-256-gb-ssd-8-gb-unified-memory-silver
ASUS ROG Strix G15 (2022),Asus,ROG Strix,Gaming,1866.14,AMD,Ryzen 7,4800H,8,3.20,7,16,512,6,NVIDIA,RTX 3060,WiFi 6E; Bluetooth 5.2,‎Windows 11 ,15.6,1920 x 1080,9,FALSE,4.5,9,https://www.amazon.ca/Display-GeForce-Keyboard-Windows-G513RM-AS71-CA/dp/B09V6VTGYG/ref=dp_prsubs_2?pd_rd_w=7pxGf&content-id=amzn1.sym.dbd0b000-b57a-40f3-88cc-4b0fca0fcb5d&pf_rd_p=dbd0b000-b57a-40f3-88cc-4b0fca0fcb5d&pf_rd_r=DZ4VZ9NVPZXZ3GDQJJV9&pd_rd_wg=fuf4u&pd_rd_r=6df64bc8-7174-4a74-a19a-bd1d052d5770&pd_rd_i=B09V6VTGYG&psc=1
Samsung Galaxy Book Pro,Samsung,Galaxy Book Pro,Business,1599.99,Intel,i5, i5-1135G7,4,2.60,5,8,256,5,Intel,Iris Xe Graphics,USB 3.0 (3),Windows 11 ,15.6,‎1920 x 1080,8,FALSE,1.05,7,https://www.staples.ca/products/3009950-en-samsung-galaxy-book-pro-156-intel-evo-platform-intel-core-i5-1135g7-8gb-ram-256gb-ssd-windows-11-home
Dell Latitude 7320,Dell,Latitude 7320,Business,1919.99,Intel,i5,i5-1135G7,4,2.60,5,16,256,6,Intel,Iris Xe Graphics,Wi-Fi; Bluetooth; USB Type-A (USB 3.1 / USB 3.2 Gen 1),Windows 10 Pro,15.6,1920 x 1080,7,FALSE,2.48,6,https://www.staples.ca/products/24484263-en-dell-latitude-7320-133-laptop-intel-core-i5-1145g7-8-gb-ram-256-gb-ssd-windows-10-pro
HP eNVY x360 Convert 15-es0020ca,HP,eNVY x360,Productivity,1599.99,Intel,i7, i7-1165G7,4,2.80,6,8,1024,6,Intel,Iris Xe Graphics,USB 3.0 (1),Windows 10 ,15.6,1920 x 1080,7,FALSE,3.9,6,https://www.staples.ca/products/3026853-en-hp-envy-x360-convert-15-es0020ca-156-laptop-fhd-intel-core-i7-1165g7-1tb-ssd-8gb-windows-10
Razer Blade 17,Razer,Blade,Gaming,5599.99,Intel, i9,i9-12900H,14,5.00,10,32,1000,8,NVIDIA,RTX 3080Ti,USB 3.0 (5),Windows 11,17.3,3840 x 2160,10,FALSE,10.2,10,https://www.amazon.ca/Razer-Blade-Gaming-Laptop-Thunderbolt/dp/B09RBG6N7Y/ref=sr_1_13?crid=15H1MRLM6FJRR&keywords=aero+gigabyte+3080+ti+laptop&qid=1669298203&qu=eyJxc2MiOiIwLjg2IiwicXNhIjoiMC4wMCIsInFzcCI6IjAuMDAifQ%3D%3D&sprefix=aero+gigabyte3080ti+laptop%2Caps%2C86&sr=8-13
"MacBook Pro 16""",Apple,Pro,Business,3999.99,Apple,M1,M1 Max Chip,10,3.20,8,32,1000,8,AMD,Pro 5600M,Three Thunder Bolt/USB 4 port; HDMI port,MacOS,16.2,3456 x 2234,10,FALSE,4.8,10,"MacBook Pro 16"""
"MSI Creator Z16 16""",MSI,Z16,Content creation,2799.99,Intel,i7,i7-12700H,14,4.70,9,16,1000,7,NVIDIA,RTX 3060,WiFi 6; Bluetooth 5.2,Windows 11 Pro,16,2560 x 1600,10,TRUE,5.07,7,https://www.staples.ca/products/3034686-en-msi-creator-z16-16-laptop-intel-core-i7-12700h-1tb-nvme-ssd-16gb-ram-windows-11-professional
Dell XPS 15 Laptop,Dell,XPS,Business,15519.65,Intel,i7,i7-11800H,8,2.30,8,64,16000,10,NVIDIA,RTX 3050Ti,WiFi 6; Bluetooth 5.2,Windows 11 Pro,15.6,3456 x 2160,10,TRUE,4.29,10,https://www.bestbuy.ca/en-ca/product/custom-dell-xps-15-laptop-intel-i7-11800h-64gb-ram-2x8tb-pcie-ssd-16tb-nvidia-geforce-rtx-3050-ti-win-11-pro/15923115
MSI Crosshair,MSI,Crosshair,Gaming,2099.99,Intel,i9,i9-12900H,14,3.80,9,32,1000,8,NVIDIA,RTX 3070,WiFi 6; Bluetooth 5.2,Windows 11,15.6,2560 x 1440,10,FALSE,4.96,8,https://www.bestbuy.ca/en-ca/product/msi-crosshair-15-6-gaming-laptop-intel-core-i9-12900h-1tb-ssd-32gb-ram-geforce-rtx-3070-windows-11/15984905
Microsoft Surface Laptop Studio,Microsoft,Surface,Content creation,2349.99,Intel,i7,i7-11370H,4,3.00,8,16,512,6,NVIDIA,RTX 3050Ti,802.11ax; Bluetooth 5.1,Windows 11 ,14.4,2400 x 1600,10,TRUE,4.01,10,https://www.bestbuy.ca/en-ca/product/microsoft-surface-laptop-studio-14-4-platinum-intel-core-i7-11370h-512gb-ssd-16gb-ram-windows-11-en/15740340
Asus ZenBook Flip 13,Asus,Zenbook Flip,Business,3399.00,Intel,i7,i7-1165G7,4,4.70,8,16,1000,7,Intel,Integrated Intel Iris Xe Graphics,802.11ax,Windows 10 ,13.3,2560 x 1080,8,TRUE,2.86,8,Asus ZenBook  Flip 13
Aero 17,GigaByte,Aero,Business,2895.60,Intel,i7,i7-9750H,6,4.50,8,6,256,5,NVIDIA,GTX 1660Ti,802.11ac,Windows 10,17,3840 x 2160,8,FALSE,10.45,6,https://www.amazon.ca/AERO-17-HDR-SA-7US4020SH-i7-9750H/dp/B07W5KP2YG/ref=sr_1_4?crid=5JXKHXJOFGF5&keywords=aero%2Blaptop&qid=1669335220&qu=eyJxc2MiOiIzLjE1IiwicXNhIjoiMC4wMCIsInFzcCI6IjAuMDAifQ%3D%3D&s=electronics&sprefix=aero%2Blaptop%2Celectronics%2C113&sr=1-4&th=1
MSI GE66 Raider,MSI,Raider,Gaming,17499.99,Intel,i9,i9-11980HK,8,5.00,9,64,16000,10,NVIDIA,RTX 3080 Max-Q,802.11ax; Bluetooth 5.2,Windows 10 Pro,15.6,3840 x 2160,9,FALSE,9.9,9,MSI Ge66 Raider
Razer Blade 15,Razer,Blade,Gaming,4608.44,Intel,i7,i7-12800H,14,4.80,10,32,1000,8,NVIDIA,3080Ti,802.11ax; Bluetooth 5.2,Windows 11,15.6,3840 x 2160,10,FALSE,15.6,10,https://www.amazon.ca/Razer-Blade-Gaming-Laptop-Thunderbolt/dp/B09RC6WB5S/ref=sr_1_10?crid=XZE464T16TS2&keywords=laptop&qid=1669336560&qu=eyJxc2MiOiI4LjQ1IiwicXNhIjoiOC4yNyIsInFzcCI6IjcuNTcifQ%3D%3D&refinements=p_36%3A200000-&rnid=12035759011&s=electronics&sprefix=laptop%2Celectronics%2C99&sr=1-10
